Name,Intelligence,Strength,Speed,Usefulness,Power Rating,Description
A-Bomb,38,100,17,17,43.0,"A-Bomb has abilities such as accelerated healing, durability, longevity, super strength, stamina, camouflage, self-sustenance, and so on."
Abomination,63,80,53,55,62.75,"Abomination has abilities such as accelerated healing, intelligence, super strength, stamina, super speed, invulnerability, animation, super breath, and so on."
Abraxas,88,100,83,100,92.75,"Abraxas has abilities such as dimensional awareness, flight, intelligence, super strength, size changing, super speed, teleportation, magic, dimensional travel, immortality, invulnerability, molecular manipulation, energy manipulation, power cosmic, and so on."
Agent Bob,10,8,13,5,9.0,"Agent Bob has abilities such as stealth, and so on."
Agent Zero,75,28,38,72,53.25,"Agent Zero has abilities such as energy absorption, longevity, super strength, energy blasts, energy beams, power suit, and so on."
Air-Walker,50,85,100,100,83.75,"Air-Walker has abilities such as flight, super strength, super speed, self-sustenance, molecular manipulation, power cosmic, and so on."
Ammo,1,1,1,0,0.75,"Ammo has abilities such as weapons master, and so on."
Angel,63,13,46,17,34.75,"Angel has abilities such as agility, accelerated healing, durability, stealth, flight, longevity, super strength, stamina, super speed, enhanced senses, magic, immortality, enhanced memory, psionic powers, enhanced hearing, gliding, vision - telescopic, toxin and disease resistance, and so on."
Angel Salvadore,38,10,28,46,30.5,"Angel Salvadore has abilities such as flight, animal attributes, animal oriented powers, regeneration, toxin and disease control, and so on."
Annihilus,75,80,47,59,65.25,"Annihilus has abilities such as agility, durability, flight, super strength, stamina, super speed, reflexes, and so on."
Ant-Man,100,10,23,32,41.25,"Ant-Man has abilities such as intelligence, size changing, and so on."
Ant-Man II,63,10,23,32,32.0,"Ant-Man II has abilities such as agility, stealth, intelligence, super strength, telepathy, size changing, stamina, animal oriented powers, animal control, and so on."
Anti-Venom,75,60,65,85,71.25,"Anti-Venom has abilities such as accelerated healing, durability, danger sense, super strength, stamina, enhanced senses, shapeshifting, camouflage, reflexes, elasticity, toxin and disease resistance, wallcrawling, web creation, symbiote costume, and so on."
Apocalypse,100,100,33,100,83.25,"Apocalypse has abilities such as agility, accelerated healing, energy absorption, flight, power augmentation, longevity, super strength, telepathy, energy blasts, size changing, stamina, super speed, teleportation, telekinesis, shapeshifting, immortality, reflexes, invulnerability, force fields, natural armor, molecular manipulation, levitation, biokinesis, and so on."
Arachne,1,1,1,0,0.75,"Arachne has abilities such as agility, accelerated healing, durability, super strength, stamina, super speed, reflexes, psionic powers, toxin and disease resistance, enhanced touch, wallcrawling, web creation, and so on."
Archangel,63,13,58,28,40.5,"Archangel has abilities such as agility, accelerated healing, durability, flight, super strength, stamina, gliding, vision - telescopic, and so on."
Arclight,38,63,23,52,44.0,"Arclight has abilities such as durability, super strength, stamina, seismic power, and so on."
Ares,75,82,35,62,63.5,"Ares has abilities such as agility, accelerated healing, durability, super strength, stamina, super speed, immortality, reflexes, and so on."
Ariel,50,10,12,72,36.0,"Ariel has abilities such as telepathy, teleportation, and so on."
Armor,50,63,12,55,45.0,"Armor has abilities such as super strength, energy armor, psionic powers, and so on."
Atlas,50,80,23,69,55.5,"Atlas has abilities such as durability, stealth, intelligence, super strength, size changing, stamina, super speed, immortality, reflexes, invulnerability, self-sustenance, and so on."
Aurora,50,15,83,69,54.25,"Aurora has abilities such as accelerated healing, durability, flight, energy blasts, super speed, reflexes, molecular manipulation, light control, illumination, molecular combustion, and so on."
Azazel,50,11,47,87,48.75,"Azazel has abilities such as accelerated healing, longevity, teleportation, dimensional travel, shapeshifting, regeneration, and so on."
Banshee,50,10,58,60,44.5,"Banshee has abilities such as flight, audio control, force fields, enhanced hearing, sonar, sonic scream, and so on."
